map_size,sigma,learning_rate,init_method,qe,n_cluster
5x5,0.7,0.3,random_init,0.4939220111000049,25
5x5,0.8,0.7,random_init,0.4942205421497198,25
5x5,0.7,0.5,pca_init,0.4949382881124782,25
5x5,0.7,0.6,pca_init,0.49502372044205606,25
5x5,0.9,0.6,pca_init,0.4957047466401558,25
5x5,0.8,0.8,pca_init,0.4972485195395531,25
5x5,0.9,0.3,random_init,0.4973946853918103,25
5x5,0.6,0.3,random_init,0.4974845857791604,25
5x5,0.5,0.8,random_init,0.4978614157706393,25
5x5,0.2,0.6,random_init,0.49853433661593866,25
5x5,0.1,0.6,random_init,0.49853433707914974,25
5x5,0.3,0.6,random_init,0.49853840643128955,25
5x5,0.6,0.3,pca_init,0.4985869807056566,23
5x5,0.3,0.8,random_init,0.4992691204991534,25
5x5,0.8,0.5,pca_init,0.49939858280609634,24
5x5,0.5,0.5,random_init,0.49945330508089414,25
5x5,0.4,0.6,random_init,0.499550813397306,25
5x5,0.4,0.2,random_init,0.4996785871396933,25
5x5,0.7,0.8,pca_init,0.49993580010211036,25
5x5,0.9,0.5,random_init,0.5001058674317257,25
5x5,0.7,0.9,pca_init,0.501233587142713,25
5x5,0.6,0.9,pca_init,0.5014026320929091,25
5x5,0.8,0.2,pca_init,0.5017016501125034,25
5x5,0.7,0.5,random_init,0.5017381380690864,24
5x5,0.8,0.9,random_init,0.5018374253009761,25
5x5,0.9,0.8,random_init,0.5019420713413334,25
5x5,0.1,0.1,random_init,0.5020489630744266,25
5x5,0.2,0.1,random_init,0.5020489689171922,25
5x5,0.3,0.1,random_init,0.5022716720099917,25
5x5,0.6,0.8,random_init,0.5025360336669636,25
5x5,0.7,0.4,random_init,0.5026233582666685,24
5x5,0.8,0.5,random_init,0.5033593904237318,25
5x5,0.5,0.7,pca_init,0.5034330683996985,23
5x5,0.9,0.8,pca_init,0.5036091902285408,25
5x5,0.1,0.9,random_init,0.5037346267186914,25
5x5,0.2,0.9,random_init,0.5037346308705267,25
5x5,0.3,0.9,random_init,0.5037419034320196,25
5x5,0.4,0.8,random_init,0.5049364001353993,25
5x5,0.2,0.4,random_init,0.5049701068082824,25
5x5,0.1,0.4,random_init,0.5049701072043036,25
5x5,0.3,0.4,random_init,0.5049732000680167,25
5x5,0.9,0.4,random_init,0.5057413702433629,25
5x5,0.4,0.1,random_init,0.5064077413842114,25
5x5,0.1,0.8,random_init,0.5072922043095517,25
5x5,0.2,0.8,random_init,0.5072922045061554,25
5x5,0.5,0.2,random_init,0.5079295429497322,24
5x5,0.5,0.8,pca_init,0.5079425581629028,23
5x5,0.6,0.8,pca_init,0.5089432279720814,25
5x5,0.7,0.2,random_init,0.5091408436422825,25
5x5,0.1,0.7,random_init,0.5098983265021252,25
5x5,0.2,0.7,random_init,0.5098983274822837,25
5x5,0.3,0.7,random_init,0.5099016923140716,25
5x5,0.4,0.5,random_init,0.5108622671331835,24
5x5,0.8,0.3,random_init,0.5108713740368487,24
5x5,0.3,0.5,random_init,0.5112870654642121,25
5x5,0.2,0.5,random_init,0.5115086089196182,25
5x5,0.1,0.5,random_init,0.511508611916895,25
5x5,0.5,0.4,random_init,0.5118996331606359,24
5x5,0.3,0.3,random_init,0.5119815367363442,25
5x5,0.2,0.3,random_init,0.5119960241141139,25
5x5,0.1,0.3,random_init,0.5119960246872042,25
5x5,0.8,0.9,pca_init,0.512743502168266,25
5x5,0.5,0.3,random_init,0.5128998737998381,24
5x5,0.9,0.2,random_init,0.5139555489318791,25
5x5,0.5,0.6,pca_init,0.5141938189019538,22
5x5,0.9,0.9,pca_init,0.514316089297326,25
5x5,0.8,0.2,random_init,0.515980713742775,25
5x5,0.4,0.3,random_init,0.516534607802999,25
5x5,0.7,0.2,pca_init,0.5174688639409937,24
5x5,0.6,0.2,random_init,0.5195483115752549,24
5x5,0.5,0.1,random_init,0.5261592264699599,24
5x5,0.6,0.2,pca_init,0.5347853772732134,21
5x5,0.6,0.1,random_init,0.5356287343566164,24
5x5,0.5,0.5,pca_init,0.5362244407654237,21
5x5,0.5,0.4,pca_init,0.5381357176420817,21
5x5,0.5,0.9,pca_init,0.5429277576810799,24
5x5,0.5,0.3,pca_init,0.5497462388005113,21
5x5,0.9,0.1,random_init,0.5583366303651887,25
5x5,0.8,0.1,random_init,0.5593102205399784,25
5x5,0.4,0.5,pca_init,0.5669632528560923,20
5x5,0.4,0.4,pca_init,0.5709842028074811,19
5x5,0.9,0.1,pca_init,0.5721089203852093,25
4x4,0.9,0.5,pca_init,0.5728673156157839,16
4x4,0.9,0.4,pca_init,0.5734504821407421,16
5x5,0.4,0.6,pca_init,0.5746401866135488,20
4x4,0.8,0.4,pca_init,0.5749417615304832,16
4x4,0.6,0.3,random_init,0.5753778538721134,16
4x4,0.7,0.4,random_init,0.5757071846333942,16
4x4,0.5,0.5,random_init,0.5757908943799641,16
4x4,0.6,0.4,pca_init,0.5767206967862607,16
4x4,0.7,0.2,pca_init,0.5769971737753835,16
5x5,0.7,0.1,random_init,0.5771983120821427,24
5x5,0.4,0.7,pca_init,0.5793793209071172,19
4x4,0.7,0.6,random_init,0.5797387214370299,16
5x5,0.4,0.8,pca_init,0.5839185308298802,19
4x4,0.6,0.4,random_init,0.5851394635103695,16
4x4,0.6,0.5,random_init,0.5859822854495929,16
4x4,0.5,0.7,pca_init,0.5865098193682501,16
4x4,0.6,0.5,pca_init,0.5868661670494739,16
