,지역본부,재산 소재지,노선명, 면적(공부) ,유형분류,현재 사용현황,향후 사용계획 및 추진사항,plan_category
1479,수도권본부,강원도 춘천시 신동면 정족리 632ㅡ15,경춘선,216.0,활용,운행선 인근부지,미사용,계획없음
1481,수도권본부,강원도 춘천시 신동면 정족리 658ㅡ2,경춘선,274.0,활용,운행선 인근부지,미사용,계획없음
1483,수도권본부,강원도 춘천시 신동면 정족리 659ㅡ6,경춘선,54.0,활용,운행선 인근부지,미사용,계획없음
1486,수도권본부,강원도 춘천시 신동면 정족리 660ㅡ3,경춘선,198.0,활용,운행선 인근부지,미사용,계획없음
1487,수도권본부,강원도 춘천시 신동면 정족리 660ㅡ5,경춘선,188.0,활용,운행선 인근부지,미사용,계획없음
1491,수도권본부,강원도 춘천시 신동면 정족리 664ㅡ6,경춘선,118.0,활용,운행선 인근부지,미사용,계획없음
1495,수도권본부,강원도 춘천시 신동면 정족리 666ㅡ8,경춘선,125.0,활용,운행선 인근부지,미사용,계획없음
1496,수도권본부,강원도 춘천시 신동면 정족리 667ㅡ8,경춘선,98.0,활용,운행선 인근부지,미사용,계획없음
1498,수도권본부,강원도 춘천시 신동면 정족리 712ㅡ5,경춘선,277.0,활용,운행선 인근부지,미사용,계획없음
1502,수도권본부,강원도 춘천시 신동면 정족리 714ㅡ1,경춘선,83.0,활용,운행선 인근부지,미사용,계획없음
1512,수도권본부,강원도 춘천시 신동면 정족리 719ㅡ2,경춘선,43.0,활용,운행선 인근부지,미사용,계획없음
1517,수도권본부,강원도 춘천시 신동면 정족리 721ㅡ2,경춘선,3.0,활용,운행선 인근부지,미사용,계획없음
1518,수도권본부,강원도 춘천시 신동면 정족리 721ㅡ4,경춘선,238.0,활용,운행선 인근부지,미사용,계획없음
1523,수도권본부,강원도 춘천시 신동면 정족리 산 78ㅡ1,경춘선,17.0,활용,운행선 인근부지,미사용,계획없음
1524,수도권본부,강원도 춘천시 신동면 정족리 산 78ㅡ2,경춘선,10.0,활용,운행선 인근부지,미사용,계획없음
1525,수도권본부,강원도 춘천시 신동면 정족리 산 78ㅡ3,경춘선,23.0,활용,운행선 인근부지,미사용,계획없음
1526,수도권본부,강원도 춘천시 신동면 정족리 산 78ㅡ4,경춘선,13.0,활용,운행선 인근부지,미사용,계획없음
1527,수도권본부,강원도 춘천시 신동면 증리 1040ㅡ9,경춘선,23.0,활용,미사용,미사용,계획없음
1533,수도권본부,강원도 춘천시 신동면 증리 646ㅡ5,경춘선,17.0,활용,미사용,미사용,계획없음
1534,수도권본부,강원도 춘천시 신동면 증리 647ㅡ6,경춘선,13.0,활용,미사용,미사용,계획없음
1535,수도권본부,강원도 춘천시 신동면 증리 657ㅡ1,경춘선,10.0,활용,미사용,미사용,계획없음
1536,수도권본부,강원도 춘천시 신동면 증리 659ㅡ2,경춘선,13.0,활용,운행선 인근부지,미사용,계획없음
1537,수도권본부,강원도 춘천시 신동면 증리 661ㅡ6,경춘선,99.0,활용,운행선 인근부지,미사용,계획없음
1539,수도권본부,강원도 춘천시 신동면 증리 671ㅡ1,경춘선,81.0,활용,미사용,미사용,계획없음
1540,수도권본부,강원도 춘천시 신동면 증리 673ㅡ2,경춘선,757.0,활용,미사용,미사용,계획없음
1543,수도권본부,강원도 춘천시 신동면 증리 698ㅡ3,경춘선,973.0,활용,운행선 인근부지,미사용,계획없음
1544,수도권본부,강원도 춘천시 신동면 증리 699ㅡ1,경춘선,102.0,활용,운행선 인근부지,미사용,계획없음
1545,수도권본부,강원도 춘천시 신동면 증리 699ㅡ2,경춘선,79.0,활용,운행선 인근부지,미사용,계획없음
1546,수도권본부,강원도 춘천시 신동면 증리 700ㅡ1,경춘선,231.0,활용,운행선 인근부지,미사용,계획없음
1547,수도권본부,강원도 춘천시 신동면 증리 702ㅡ2,경춘선,3.0,활용,운행선 인근부지,미사용,계획없음
1548,수도권본부,강원도 춘천시 신동면 증리 710ㅡ3,경춘선,3157.0,활용,운행선 인근부지,미사용,계획없음
1549,수도권본부,강원도 춘천시 신동면 증리 710ㅡ5,경춘선,96.0,활용,운행선 인근부지,미사용,계획없음
1550,수도권본부,강원도 춘천시 신동면 증리 711ㅡ2,경춘선,12.0,활용,운행선 인근부지,미사용,계획없음
1551,수도권본부,강원도 춘천시 신동면 증리 714ㅡ1,경춘선,123.0,활용,운행선 인근부지,미사용,계획없음
1552,수도권본부,강원도 춘천시 신동면 증리 715ㅡ2,경춘선,40.0,활용,운행선 인근부지,미사용,계획없음
1553,수도권본부,강원도 춘천시 신동면 증리 720ㅡ2,경춘선,69.0,활용,운행선 인근부지,미사용,계획없음
1554,수도권본부,강원도 춘천시 신동면 증리 721ㅡ4,경춘선,16.0,활용,운행선 인근부지,미사용,계획없음
1555,수도권본부,강원도 춘천시 신동면 증리 721ㅡ6,경춘선,23.0,활용,운행선 인근부지,미사용,계획없음
1556,수도권본부,강원도 춘천시 신동면 증리 726ㅡ2,경춘선,1316.0,활용,운행선 인근부지,미사용,계획없음
1557,수도권본부,강원도 춘천시 신동면 증리 726ㅡ3,경춘선,36.0,활용,운행선 인근부지,미사용,계획없음
1558,수도권본부,강원도 춘천시 신동면 증리 733ㅡ2,경춘선,119.0,활용,운행선 인근부지,미사용,계획없음
1559,수도권본부,강원도 춘천시 신동면 증리 737ㅡ2,경춘선,1260.0,활용,운행선 인근부지,미사용,계획없음
