id,proprietary_institution,address,line,area,유형분류,현재 사용현황,향후 사용계획 및 추진사항,plan_category,capacity,land_category,realty_price,sys_connection,insolation,generation_quantity,economic_feasibility,result,pca_x,pca_y
1543,수도권본부,강원도 춘천시 신동면 증리 698-3,경춘선,973,활용,운행선 인근부지,미사용,계획없음,74.0, ,59700.0,가능,3.6,1588444.0,306645.0,0,2.2010720476345758,0.887251718433446
1544,수도권본부,강원도 춘천시 신동면 증리 699-1,경춘선,102,활용,운행선 인근부지,미사용,계획없음,7.0, ,23500.0,가능,3.6,150260.0,27416.0,0,-1.380826383662968,0.37300192723260994
1545,수도권본부,강원도 춘천시 신동면 증리 699-2,경춘선,79,활용,운행선 인근부지,미사용,계획없음,6.0, ,23500.0,가능,3.6,128792.0,23499.0,0,-1.443858725993503,0.374912801144461
1546,수도권본부,강원도 춘천시 신동면 증리 700-1,경춘선,231,활용,운행선 인근부지,미사용,계획없음,17.0, ,23500.0,가능,3.6,364909.0,66581.0,0,-0.8521806087940329,0.36075519927419514
1549,수도권본부,강원도 춘천시 신동면 증리 710-5,경춘선,96,활용,운행선 인근부지,미사용,계획없음,7.0, ,23500.0,가능,3.6,150260.0,27416.0,0,-1.3868644710360676,0.37340961426934877
1551,수도권본부,강원도 춘천시 신동면 증리 714-1,경춘선,123,활용,운행선 인근부지,미사용,계획없음,9.0, ,24200.0,가능,3.6,193196.0,35250.0,0,-1.280364379908485,0.3823979108607483
1552,수도권본부,강원도 춘천시 신동면 증리 715-2,경춘선,40,활용,운행선 인근부지,미사용,계획없음,3.0, ,23500.0,가능,3.6,64397.0,11749.0,0,-1.6027562239028375,0.3786071684831184
1553,수도권본부,강원도 춘천시 신동면 증리 720-2,경춘선,69,활용,운행선 인근부지,미사용,계획없음,5.0, ,24200.0,가능,3.6,107330.0,19583.0,0,-1.494245354861642,0.38745953011510836
1554,수도권본부,강원도 춘천시 신동면 증리 721-4,경춘선,16,활용,운행선 인근부지,미사용,계획없음,1.0, ,24200.0,가능,3.6,21462.0,3915.0,0,-1.7071245990887431,0.3924531123977056
1555,수도권본부,강원도 춘천시 신동면 증리 721-6,경춘선,23,활용,운행선 인근부지,미사용,계획없음,1.0, ,24200.0,가능,3.6,21462.0,3915.0,0,-1.7000801638201268,0.3919774775215103
1556,수도권본부,강원도 춘천시 신동면 증리 726-2,경춘선,1316,활용,운행선 인근부지,미사용,계획없음,101.0, ,23500.0,가능,3.6,2168004.0,418192.0,0,3.665416007081656,0.25921226330951963
