area,capacity,realty_price,insolation,generation_quantity,economic_feasibility,result
33,2.0,60300.0,3.55,42351.0,7727.0,1
284,21.0,21100.0,3.55,444712.0,81141.0,1
744,57.0,12800.0,3.55,1207075.0,233023.0,2
936,72.0,20400.0,3.55,1524728.0,294345.0,2
1289,99.0,20400.0,3.55,2096503.0,404725.0,2
1650,126.0,20400.0,3.55,2668270.0,506414.0,2
66,5.0,20400.0,3.55,105880.0,19318.0,1
20,1.0,20400.0,3.55,21173.0,3863.0,1
638,49.0,48100.0,3.55,1037657.0,200317.0,2
658,50.0,20400.0,3.55,1058840.0,204406.0,2
529,40.0,35500.0,3.55,847067.0,163524.0,1
17,1.0,108700.0,3.55,21173.0,3863.0,3
52,4.0,108700.0,3.55,84712.0,15456.0,3
46,3.0,108700.0,3.55,63528.0,11591.0,3
327,25.0,100800.0,3.55,529417.0,96597.0,3
32,2.0,108700.0,3.55,42351.0,7727.0,3
1078,82.0,81100.0,3.55,1736505.0,335228.0,2
66,5.0,24400.0,3.55,105880.0,19318.0,1
36,2.0,100800.0,3.55,42351.0,7727.0,3
14,1.0,108700.0,3.55,21173.0,3863.0,3
298,22.0,20400.0,3.55,465884.0,85004.0,1
198,15.0,20400.0,3.55,317654.0,57958.0,1
201,15.0,96300.0,3.78,338364.0,61737.0,3
545,41.0,25900.0,3.75,917189.0,177061.0,1
469,36.0,25900.0,3.75,805334.0,155468.0,1
572,44.0,25900.0,3.75,984305.0,190018.0,1
547,42.0,25900.0,3.75,939557.0,181379.0,1
69,5.0,25900.0,3.75,111852.0,20408.0,1
250,19.0,11500.0,3.75,425036.0,77551.0,1
20,1.0,25900.0,3.75,22370.0,4081.0,1
179,13.0,25900.0,3.75,290817.0,53062.0,1
526,40.0,39500.0,3.75,894405.0,172663.0,1
239,18.0,22700.0,3.75,402486.0,73437.0,1
211,16.0,28200.0,3.74,357434.0,65217.0,1
87,6.0,28200.0,3.74,134043.0,24457.0,1
55,4.0,28200.0,3.74,89358.0,16304.0,1
216,16.0,16900.0,3.74,357434.0,65217.0,1
31,2.0,28200.0,3.74,44677.0,8151.0,1
26,2.0,53700.0,3.78,45074.0,8224.0,1
23,1.0,53700.0,3.78,22541.0,4112.0,1
251,19.0,29500.0,3.78,428211.0,78131.0,1
314,24.0,27900.0,3.78,540896.0,98691.0,1
99,7.0,6370.0,3.78,157760.0,28784.0,1
298,22.0,6760.0,3.78,495825.0,90467.0,1
608,46.0,31800.0,3.79,1040895.0,200942.0,1
48,3.0,152700.0,4.0,71589.0,13062.0,3
229,17.0,48500.0,3.62,367496.0,67053.0,1
284,21.0,7260.0,3.59,449996.0,82105.0,1
169,13.0,7260.0,3.59,278577.0,50828.0,1
991,76.0,7260.0,3.59,1628576.0,314393.0,2
1393,107.0,7260.0,3.59,2292851.0,440141.0,2
709,54.0,7260.0,3.59,1157139.0,223383.0,2
420,32.0,7260.0,3.59,685713.0,132375.0,1
945,72.0,7260.0,3.59,1542855.0,297845.0,2
1343,103.0,7260.0,3.59,2207140.0,425057.0,2
60,4.0,7260.0,3.59,85717.0,15639.0,1
182,14.0,24000.0,3.7,309466.0,56464.0,1
1031,79.0,16900.0,3.7,1746324.0,337124.0,2
129,9.0,4120.0,3.7,198950.0,36300.0,1
311,23.0,3790.0,3.7,508429.0,92767.0,1
1350,103.0,11000.0,3.7,2276856.0,438483.0,2
198,15.0,9240.0,3.7,331579.0,60499.0,1
1091,83.0,1300.0,3.7,1834742.0,354193.0,2
99,7.0,1300.0,3.7,154743.0,28234.0,1
99,7.0,1300.0,3.7,154743.0,28234.0,1
1785,137.0,1310.0,3.7,3028432.0,571717.0,2
1267,97.0,6270.0,3.7,2144224.0,413938.0,2
119,9.0,4290.0,3.7,198945.0,36299.0,1
60,4.0,2780.0,3.7,88419.0,16132.0,1
73,5.0,2900.0,3.7,110530.0,20167.0,1
69,5.0,2900.0,3.7,110530.0,20167.0,1
139,10.0,2900.0,3.7,221049.0,40332.0,1
426,32.0,2900.0,3.7,707373.0,136556.0,1
1762,135.0,2900.0,3.7,2984221.0,564065.0,2
1477,113.0,2900.0,3.7,2497904.0,477566.0,2
350,26.0,1780.0,3.7,574745.0,104867.0,1
17,1.0,2900.0,3.7,22107.0,4033.0,1
344,26.0,2900.0,3.7,574745.0,104867.0,1
797,61.0,2900.0,3.7,1348424.0,260310.0,2
1091,83.0,1830.0,3.7,1834746.0,354194.0,2
