id,proprietary_institution,address,line,area,유형분류,현재 사용현황,향후 사용계획 및 추진사항,plan_category,capacity,land_category,realty_price,sys_connection,insolation,generation_quantity,economic_feasibility
1495,수도권본부,강원도 춘천시 신동면 정족리 666-8,경춘선,125,활용,운행선 인근부지,미사용,계획없음,9.0, ,28200.0,가능,3.6,193196.0,35250.0
1496,수도권본부,강원도 춘천시 신동면 정족리 667-8,경춘선,98,활용,운행선 인근부지,미사용,계획없음,7.0, ,33900.0,가능,3.6,150260.0,27416.0
1498,수도권본부,강원도 춘천시 신동면 정족리 712-5,경춘선,277,활용,운행선 인근부지,미사용,계획없음,21.0, ,25700.0,가능,3.6,450777.0,82248.0
1502,수도권본부,강원도 춘천시 신동면 정족리 714-1,경춘선,83,활용,운행선 인근부지,미사용,계획없음,6.0, ,25700.0,가능,3.6,128792.0,23499.0
1512,수도권본부,강원도 춘천시 신동면 정족리 719-2,경춘선,43,활용,운행선 인근부지,미사용,계획없음,3.0, ,28200.0,가능,3.6,64397.0,11749.0
1518,수도권본부,강원도 춘천시 신동면 정족리 721-4,경춘선,238,활용,운행선 인근부지,미사용,계획없음,18.0, ,28200.0,가능,3.6,386373.0,70497.0
1527,수도권본부,강원도 춘천시 신동면 증리 1040-9,경춘선,23,활용,미사용,미사용,계획없음,1.0, ,23500.0,가능,3.6,21462.0,3915.0
1533,수도권본부,강원도 춘천시 신동면 증리 646-5,경춘선,17,활용,미사용,미사용,계획없음,1.0, ,23500.0,가능,3.6,21462.0,3915.0
1534,수도권본부,강원도 춘천시 신동면 증리 647-6,경춘선,13,활용,미사용,미사용,계획없음,1.0,도로,23500.0,가능,3.6,21462.0,3915.0
1536,수도권본부,강원도 춘천시 신동면 증리 659-2,경춘선,13,활용,운행선 인근부지,미사용,계획없음,1.0, ,23500.0,가능,3.6,21462.0,3915.0
1537,수도권본부,강원도 춘천시 신동면 증리 661-6,경춘선,99,활용,운행선 인근부지,미사용,계획없음,7.0, ,23500.0,가능,3.6,150260.0,27416.0
1539,수도권본부,강원도 춘천시 신동면 증리 671-1,경춘선,81,활용,미사용,미사용,계획없음,6.0, ,80100.0,가능,3.6,128792.0,23499.0
1540,수도권본부,강원도 춘천시 신동면 증리 673-2,경춘선,757,활용,미사용,미사용,계획없음,58.0, ,77200.0,가능,3.6,1244988.0,240342.0
1543,수도권본부,강원도 춘천시 신동면 증리 698-3,경춘선,973,활용,운행선 인근부지,미사용,계획없음,74.0, ,59700.0,가능,3.6,1588444.0,306645.0
1544,수도권본부,강원도 춘천시 신동면 증리 699-1,경춘선,102,활용,운행선 인근부지,미사용,계획없음,7.0, ,23500.0,가능,3.6,150260.0,27416.0
1545,수도권본부,강원도 춘천시 신동면 증리 699-2,경춘선,79,활용,운행선 인근부지,미사용,계획없음,6.0, ,23500.0,가능,3.6,128792.0,23499.0
1546,수도권본부,강원도 춘천시 신동면 증리 700-1,경춘선,231,활용,운행선 인근부지,미사용,계획없음,17.0, ,23500.0,가능,3.6,364909.0,66581.0
1548,수도권본부,강원도 춘천시 신동면 증리 710-3,경춘선,3157,활용,운행선 인근부지,미사용,계획없음,242.0, ,24200.0,가능,3.6,5194642.0,955285.0
1549,수도권본부,강원도 춘천시 신동면 증리 710-5,경춘선,96,활용,운행선 인근부지,미사용,계획없음,7.0, ,23500.0,가능,3.6,150260.0,27416.0
1551,수도권본부,강원도 춘천시 신동면 증리 714-1,경춘선,123,활용,운행선 인근부지,미사용,계획없음,9.0, ,24200.0,가능,3.6,193196.0,35250.0
1552,수도권본부,강원도 춘천시 신동면 증리 715-2,경춘선,40,활용,운행선 인근부지,미사용,계획없음,3.0, ,23500.0,가능,3.6,64397.0,11749.0
1553,수도권본부,강원도 춘천시 신동면 증리 720-2,경춘선,69,활용,운행선 인근부지,미사용,계획없음,5.0, ,24200.0,가능,3.6,107330.0,19583.0
1554,수도권본부,강원도 춘천시 신동면 증리 721-4,경춘선,16,활용,운행선 인근부지,미사용,계획없음,1.0, ,24200.0,가능,3.6,21462.0,3915.0
1555,수도권본부,강원도 춘천시 신동면 증리 721-6,경춘선,23,활용,운행선 인근부지,미사용,계획없음,1.0, ,24200.0,가능,3.6,21462.0,3915.0
1556,수도권본부,강원도 춘천시 신동면 증리 726-2,경춘선,1316,활용,운행선 인근부지,미사용,계획없음,101.0, ,23500.0,가능,3.6,2168004.0,418192.0
1557,수도권본부,강원도 춘천시 신동면 증리 726-3,경춘선,36,활용,운행선 인근부지,미사용,계획없음,2.0, ,24500.0,가능,3.6,42933.0,7833.0
1558,수도권본부,강원도 춘천시 신동면 증리 733-2,경춘선,119,활용,운행선 인근부지,미사용,계획없음,9.0, ,23500.0,가능,3.6,193196.0,35250.0
1559,수도권본부,강원도 춘천시 신동면 증리 737-2,경춘선,1260,활용,운행선 인근부지,미사용,계획없음,96.0, ,57700.0,가능,3.6,2060685.0,397811.0
1561,수도권본부,강원도 춘천시 신동면 증리 739-2,경춘선,774,활용,운행선 인근부지,미사용,계획없음,59.0, ,69900.0,가능,3.6,1266459.0,244487.0
1563,수도권본부,강원도 춘천시 신동면 증리 741-2,경춘선,99,활용,미사용,미사용,계획없음,7.0, ,69900.0,가능,3.6,150260.0,27416.0
1564,수도권본부,강원도 춘천시 신동면 증리 741-4,경춘선,50,활용,미사용,미사용,계획없음,3.0, ,23500.0,가능,3.6,64397.0,11749.0
1565,수도권본부,강원도 춘천시 신동면 증리 749-2,경춘선,593,활용,미사용,미사용,계획없음,45.0, ,69900.0,가능,3.6,965950.0,186474.0
1566,수도권본부,강원도 춘천시 신동면 증리 752-1,경춘선,140,활용,미사용,미사용,계획없음,10.0, ,69900.0,가능,3.6,214653.0,39165.0
1568,수도권본부,강원도 춘천시 신동면 증리 855-3,경춘선,118,활용,운행선 인근부지,미사용,계획없음,9.0, ,2040.0,가능,3.6,193196.0,35250.0
1569,수도권본부,강원도 춘천시 신동면 증리 855-6,경춘선,21,활용,운행선 인근부지,미사용,계획없음,1.0, ,2040.0,가능,3.6,21462.0,3915.0
1572,수도권본부,강원도 춘천시 신동면 증리 856-7,경춘선,317,활용,운행선 인근부지,미사용,계획없음,24.0, ,38500.0,가능,3.6,515174.0,93998.0
1581,수도권본부,강원도 춘천시 신동면 증리 859-3,경춘선,442,활용,운행선 인근부지,미사용,계획없음,34.0, ,49600.0,가능,3.6,729821.0,140890.0
1584,수도권본부,강원도 춘천시 신동면 증리 860-6,경춘선,106,활용,미사용,미사용,계획없음,8.0, ,101100.0,가능,3.6,171733.0,31334.0
1588,수도권본부,강원도 춘천시 신동면 증리 942-4,경춘선,321,활용,운행선 인근부지,미사용,계획없음,24.0, ,42900.0,가능,3.6,515174.0,93998.0
1595,수도권본부,강원도 춘천시 신동면 증리 산 33-2,경춘선,3174,활용,운행선 인근부지,미사용,계획없음,244.0, ,1630.0,가능,3.6,5237563.0,962772.0
1596,수도권본부,강원도 춘천시 신동면 증리 산 7-2,경춘선,992,활용,미사용,미사용,계획없음,76.0, ,1630.0,가능,3.6,1631368.0,314932.0
1737,수도권본부,강원도 춘천시 퇴계동 381-35,경춘선,49,활용,운행선 인근부지,미사용,계획없음,3.0, ,100100.0,가능,3.63,64896.0,11840.0
1740,수도권본부,강원도 춘천시 퇴계동 419-3,경춘선,3528,활용,운행선 인근부지,미사용,계획없음,271.0, ,104600.0,가능,3.63,5862237.0,1073964.0
