id,proprietary_institution,address,line,area,유형분류,현재 사용현황,향후 사용계획 및 추진사항,plan_category,capacity,land_category,realty_price,sys_connection,insolation,generation_quantity,economic_feasibility
1483,수도권본부,강원도 춘천시 신동면 정족리 659-6,경춘선,54,활용,운행선 인근부지,미사용,계획없음,4.0, ,141000.0,가능,3.6,85858.0,15665.0
1486,수도권본부,강원도 춘천시 신동면 정족리 660-3,경춘선,198,활용,운행선 인근부지,미사용,계획없음,15.0, ,141000.0,가능,3.6,321985.0,58749.0
1487,수도권본부,강원도 춘천시 신동면 정족리 660-5,경춘선,188,활용,운행선 인근부지,미사용,계획없음,14.0, ,28200.0,가능,3.6,300516.0,54831.0
1491,수도권본부,강원도 춘천시 신동면 정족리 664-6,경춘선,118,활용,운행선 인근부지,미사용,계획없음,9.0, ,28200.0,가능,3.6,193196.0,35250.0
1495,수도권본부,강원도 춘천시 신동면 정족리 666-8,경춘선,125,활용,운행선 인근부지,미사용,계획없음,9.0, ,28200.0,가능,3.6,193196.0,35250.0
1496,수도권본부,강원도 춘천시 신동면 정족리 667-8,경춘선,98,활용,운행선 인근부지,미사용,계획없음,7.0, ,33900.0,가능,3.6,150260.0,27416.0
1498,수도권본부,강원도 춘천시 신동면 정족리 712-5,경춘선,277,활용,운행선 인근부지,미사용,계획없음,21.0, ,25700.0,가능,3.6,450777.0,82248.0
1502,수도권본부,강원도 춘천시 신동면 정족리 714-1,경춘선,83,활용,운행선 인근부지,미사용,계획없음,6.0, ,25700.0,가능,3.6,128792.0,23499.0
1512,수도권본부,강원도 춘천시 신동면 정족리 719-2,경춘선,43,활용,운행선 인근부지,미사용,계획없음,3.0, ,28200.0,가능,3.6,64397.0,11749.0
1517,수도권본부,강원도 춘천시 신동면 정족리 721-2,경춘선,3,활용,운행선 인근부지,미사용,계획없음,,,,,,,
1518,수도권본부,강원도 춘천시 신동면 정족리 721-4,경춘선,238,활용,운행선 인근부지,미사용,계획없음,18.0, ,28200.0,가능,3.6,386373.0,70497.0
1523,수도권본부,강원도 춘천시 신동면 정족리 산 78-1,경춘선,17,활용,운행선 인근부지,미사용,계획없음,1.0, ,,,,,
1524,수도권본부,강원도 춘천시 신동면 정족리 산 78-2,경춘선,10,활용,운행선 인근부지,미사용,계획없음,,,,,,,
1525,수도권본부,강원도 춘천시 신동면 정족리 산 78-3,경춘선,23,활용,운행선 인근부지,미사용,계획없음,1.0, ,,,,,
