,id,proprietary_institution,address,line,area,유형분류,현재 사용현황,향후 사용계획 및 추진사항,capacity,land_category,realty_price,sys_connection,insolation,generation_quantity,economic_feasibility
111,19089,강원본부,충청북도 단양군 매포읍 고양리 372ㅡ9,중앙선,169.0,기타,미사용,계획 없음,,,,,,,
112,19090,강원본부,충청북도 단양군 매포읍 고양리 373ㅡ15,중앙선,433.0,기타,미사용,계획 없음,,,,,,,
113,19092,강원본부,충청북도 단양군 매포읍 고양리 373ㅡ4,중앙선,175.0,기타,미사용,계획 없음,,,,,,,
114,19093,강원본부,충청북도 단양군 매포읍 고양리 373ㅡ6,중앙선,543.0,기타,미사용,계획 없음,,,,,,,
115,19094,강원본부,충청북도 단양군 매포읍 고양리 374ㅡ1,중앙선,46.0,기타,미사용,계획 없음,,,,,,,
116,19095,강원본부,충청북도 단양군 매포읍 고양리 375ㅡ13,중앙선,405.0,기타,미사용,계획 없음,,,,,,,
117,19096,강원본부,충청북도 단양군 매포읍 고양리 375ㅡ15,중앙선,10.0,기타,미사용,계획 없음,,,,,,,
118,19098,강원본부,충청북도 단양군 매포읍 고양리 375ㅡ7,중앙선,300.0,기타,미사용,계획 없음,,,,,,,
119,19099,강원본부,충청북도 단양군 매포읍 고양리 375ㅡ8,중앙선,93.0,기타,미사용,계획 없음,,,,,,,
120,19100,강원본부,충청북도 단양군 매포읍 고양리 산 1ㅡ2,중앙선,1190.0,기타,미사용,계획 없음,,,,,,,
121,19101,강원본부,충청북도 단양군 매포읍 고양리 산 31ㅡ2,중앙선,3967.0,기타,미사용,계획 없음,,,,,,,
122,19103,강원본부,충청북도 단양군 매포읍 김산리 243ㅡ5,중앙선,258.0,기타,미사용,계획 없음,,,,,,,
123,19104,강원본부,충청북도 단양군 매포읍 김산리 244ㅡ1,중앙선,281.0,기타,미사용,계획 없음,,,,,,,
124,19105,강원본부,충청북도 단양군 매포읍 김산리 244ㅡ2,중앙선,635.0,기타,미사용,계획 없음,,,,,,,
125,19106,강원본부,충청북도 단양군 매포읍 김산리 245ㅡ2,중앙선,331.0,기타,미사용,계획 없음,,,,,,,
126,19107,강원본부,충청북도 단양군 매포읍 김산리 245ㅡ3,중앙선,165.0,기타,미사용,계획 없음,,,,,,,
127,19108,강원본부,충청북도 단양군 매포읍 김산리 245ㅡ4,중앙선,585.0,기타,미사용,계획 없음,,,,,,,
128,19112,강원본부,충청북도 단양군 매포읍 삼곡리 429ㅡ10,중앙선,873.0,기타,미사용,계획 없음,,,,,,,
129,19113,강원본부,충청북도 단양군 매포읍 삼곡리 435ㅡ1,중앙선,685.0,기타,미사용,계획 없음,,,,,,,
130,19114,강원본부,충청북도 단양군 매포읍 삼곡리 산 4ㅡ2,중앙선,893.0,기타,미사용,계획 없음,,,,,,,
131,19115,강원본부,충청북도 단양군 매포읍 삼곡리 산 4ㅡ3,중앙선,33.0,기타,미사용,계획 없음,,,,,,,
132,19116,강원본부,충청북도 단양군 매포읍 상시리 103ㅡ2,중앙선,112.0,기타,미사용,계획 없음,,,,,,,
133,19117,강원본부,충청북도 단양군 매포읍 상시리 106ㅡ2,중앙선,1385.0,기타,미사용,계획 없음,,,,,,,
134,19118,강원본부,충청북도 단양군 매포읍 상시리 109ㅡ2,중앙선,605.0,기타,미사용,계획 없음,,,,,,,
135,19119,강원본부,충청북도 단양군 매포읍 상시리 115ㅡ2,중앙선,354.0,기타,미사용,계획 없음,,,,,,,
136,19120,강원본부,충청북도 단양군 매포읍 상시리 116ㅡ2,중앙선,36.0,기타,미사용,계획 없음,,,,,,,
137,19121,강원본부,충청북도 단양군 매포읍 상시리 142ㅡ1,중앙선,30.0,기타,미사용,계획 없음,,,,,,,
138,19122,강원본부,충청북도 단양군 매포읍 상시리 145ㅡ1,중앙선,13.0,기타,미사용,계획 없음,,,,,,,
139,19123,강원본부,충청북도 단양군 매포읍 상시리 145ㅡ5,중앙선,747.0,기타,미사용,계획 없음,,,,,,,
140,19124,강원본부,충청북도 단양군 매포읍 상시리 146ㅡ1,중앙선,152.0,기타,미사용,계획 없음,,,,,,,
141,19125,강원본부,충청북도 단양군 매포읍 상시리 147ㅡ1,중앙선,46.0,기타,미사용,계획 없음,,,,,,,
142,19126,강원본부,충청북도 단양군 매포읍 상시리 147ㅡ2,중앙선,56.0,기타,미사용,계획 없음,,,,,,,
143,19127,강원본부,충청북도 단양군 매포읍 상시리 148ㅡ1,중앙선,169.0,기타,미사용,계획 없음,,,,,,,
144,19128,강원본부,충청북도 단양군 매포읍 상시리 148ㅡ2,중앙선,23.0,기타,미사용,계획 없음,,,,,,,
145,19129,강원본부,충청북도 단양군 매포읍 상시리 148ㅡ4,중앙선,60.0,기타,미사용,계획 없음,,,,,,,
146,19130,강원본부,충청북도 단양군 매포읍 상시리 148ㅡ5,중앙선,10.0,기타,미사용,계획 없음,,,,,,,
147,19131,강원본부,충청북도 단양군 매포읍 상시리 149ㅡ1,중앙선,3778.0,기타,미사용,계획 없음,,,,,,,
148,19132,강원본부,충청북도 단양군 매포읍 상시리 178ㅡ2,중앙선,7.0,기타,미사용,계획 없음,,,,,,,
149,19133,강원본부,충청북도 단양군 매포읍 상시리 179ㅡ3,중앙선,93.0,기타,미사용,계획 없음,,,,,,,
150,19134,강원본부,충청북도 단양군 매포읍 상시리 179ㅡ4,중앙선,50.0,기타,미사용,계획 없음,,,,,,,
151,19135,강원본부,충청북도 단양군 매포읍 상시리 179ㅡ5,중앙선,215.0,기타,미사용,계획 없음,,,,,,,
152,19136,강원본부,충청북도 단양군 매포읍 상시리 179ㅡ6,중앙선,165.0,기타,미사용,계획 없음,,,,,,,
153,19137,강원본부,충청북도 단양군 매포읍 상시리 179ㅡ7,중앙선,99.0,기타,미사용,계획 없음,,,,,,,
154,19138,강원본부,충청북도 단양군 매포읍 상시리 179ㅡ8,중앙선,17.0,기타,미사용,계획 없음,,,,,,,
155,19139,강원본부,충청북도 단양군 매포읍 상시리 253ㅡ5,중앙선,539.0,기타,미사용,계획 없음,,,,,,,
156,19140,강원본부,충청북도 단양군 매포읍 상시리 253ㅡ7,중앙선,36.0,기타,미사용,계획 없음,,,,,,,
157,19141,강원본부,충청북도 단양군 매포읍 상시리 260ㅡ2,중앙선,2493.0,기타,미사용,계획 없음,,,,,,,
158,19142,강원본부,충청북도 단양군 매포읍 상시리 264ㅡ6,중앙선,1266.0,기타,미사용,계획 없음,,,,,,,
159,19143,강원본부,충청북도 단양군 매포읍 상시리 267ㅡ2,중앙선,7.0,기타,미사용,계획 없음,,,,,,,
160,19144,강원본부,충청북도 단양군 매포읍 상시리 269ㅡ1,중앙선,1341.0,기타,미사용,계획 없음,,,,,,,
161,19146,강원본부,충청북도 단양군 매포읍 상시리 372ㅡ1,중앙선,289.0,기타,미사용,계획 없음,,,,,,,
162,19147,강원본부,충청북도 단양군 매포읍 상시리 375ㅡ1,중앙선,91.0,기타,미사용,계획 없음,,,,,,,
163,19148,강원본부,충청북도 단양군 매포읍 상시리 379ㅡ1,중앙선,283.0,기타,미사용,계획 없음,,,,,,,
164,19149,강원본부,충청북도 단양군 매포읍 상시리 385ㅡ5,중앙선,73.0,기타,미사용,계획 없음,,,,,,,
165,19151,강원본부,충청북도 단양군 매포읍 상시리 397ㅡ3,중앙선,137.0,기타,미사용,계획 없음,,,,,,,
166,19152,강원본부,충청북도 단양군 매포읍 상시리 398ㅡ5,중앙선,71.0,기타,미사용,계획 없음,,,,,,,
167,19154,강원본부,충청북도 단양군 매포읍 상시리 산 33ㅡ2,중앙선,496.0,기타,미사용,계획 없음,,,,,,,
168,19155,강원본부,충청북도 단양군 매포읍 상시리 산 33ㅡ3,중앙선,397.0,기타,미사용,계획 없음,,,,,,,
169,19157,강원본부,충청북도 단양군 매포읍 상시리 산 41ㅡ4,중앙선,99.0,기타,미사용,계획 없음,,,,,,,
170,19158,강원본부,충청북도 단양군 매포읍 상시리 산 42ㅡ1,중앙선,1190.0,기타,미사용,계획 없음,,,,,,,
171,19159,강원본부,충청북도 단양군 매포읍 상시리 산 7ㅡ2,중앙선,893.0,기타,미사용,계획 없음,,,,,,,
172,19160,강원본부,충청북도 단양군 매포읍 상시리 산 9ㅡ2,중앙선,5287.0,기타,미사용,계획 없음,,,,,,,
173,19161,강원본부,충청북도 단양군 매포읍 안동리 122ㅡ2,중앙선,4473.0,기타,미사용,계획 없음,,,,,,,
174,19162,강원본부,충청북도 단양군 매포읍 안동리 167ㅡ1,중앙선,2238.0,기타,미사용,계획 없음,,,,,,,
175,19163,강원본부,충청북도 단양군 매포읍 안동리 176ㅡ2,중앙선,863.0,기타,미사용,계획 없음,,,,,,,
176,19164,강원본부,충청북도 단양군 매포읍 안동리 225ㅡ2,중앙선,3411.0,기타,미사용,계획 없음,,,,,,,
177,19165,강원본부,충청북도 단양군 매포읍 안동리 230ㅡ2,중앙선,2493.0,기타,미사용,계획 없음,,,,,,,
178,19166,강원본부,충청북도 단양군 매포읍 안동리 272,중앙선,5654.0,기타,미사용,계획 없음,,,,,,,
179,19167,강원본부,충청북도 단양군 매포읍 안동리 285ㅡ1,중앙선,5478.0,기타,미사용,계획 없음,,,,,,,
180,19168,강원본부,충청북도 단양군 매포읍 안동리 296ㅡ2,중앙선,840.0,기타,미사용,계획 없음,,,,,,,
181,19169,강원본부,충청북도 단양군 매포읍 안동리 297ㅡ2,중앙선,251.0,기타,미사용,계획 없음,,,,,,,
182,19170,강원본부,충청북도 단양군 매포읍 안동리 342ㅡ1,중앙선,57.0,기타,미사용,계획 없음,,,,,,,
183,19171,강원본부,충청북도 단양군 매포읍 안동리 343ㅡ5,중앙선,295.0,기타,미사용,계획 없음,,,,,,,
184,19172,강원본부,충청북도 단양군 매포읍 안동리 산 13ㅡ3,중앙선,99.0,기타,미사용,계획 없음,,,,,,,
185,19173,강원본부,충청북도 단양군 매포읍 안동리 산 13ㅡ4,중앙선,46.0,기타,미사용,계획 없음,,,,,,,
186,19174,강원본부,충청북도 단양군 매포읍 안동리 산 13ㅡ5,중앙선,496.0,기타,미사용,계획 없음,,,,,,,
187,19175,강원본부,충청북도 단양군 매포읍 안동리 산 15ㅡ1,중앙선,3769.0,기타,미사용,계획 없음,,,,,,,
188,19176,강원본부,충청북도 단양군 매포읍 안동리 산 17ㅡ1,중앙선,99.0,기타,미사용,계획 없음,,,,,,,
189,19177,강원본부,충청북도 단양군 매포읍 안동리 산 27ㅡ2,중앙선,1785.0,기타,미사용,계획 없음,,,,,,,
190,19178,강원본부,충청북도 단양군 매포읍 안동리 산 28ㅡ2,중앙선,198.0,기타,미사용,계획 없음,,,,,,,
191,19179,강원본부,충청북도 단양군 매포읍 영천리 313ㅡ2,중앙선,129.0,기타,미사용,계획 없음,,,,,,,
192,19180,강원본부,충청북도 단양군 매포읍 영천리 314ㅡ3,중앙선,3282.0,기타,미사용,계획 없음,,,,,,,
193,19181,강원본부,충청북도 단양군 매포읍 영천리 433ㅡ3,중앙선,2936.0,기타,미사용,계획 없음,,,,,,,
194,19182,강원본부,충청북도 단양군 매포읍 영천리 435ㅡ1,중앙선,674.0,기타,미사용,계획 없음,,,,,,,
195,19183,강원본부,충청북도 단양군 매포읍 영천리 442ㅡ2,중앙선,943.0,기타,미사용,계획 없음,,,,,,,
196,19184,강원본부,충청북도 단양군 매포읍 영천리 444ㅡ2,중앙선,145.0,기타,미사용,계획 없음,,,,,,,
197,19185,강원본부,충청북도 단양군 매포읍 영천리 446ㅡ3,중앙선,7.0,기타,미사용,계획 없음,,,,,,,
198,19186,강원본부,충청북도 단양군 매포읍 영천리 446ㅡ5,중앙선,1452.0,기타,미사용,계획 없음,,,,,,,
199,19187,강원본부,충청북도 단양군 매포읍 영천리 464ㅡ1,중앙선,488.0,기타,미사용,계획 없음,,,,,,,
200,19188,강원본부,충청북도 단양군 매포읍 영천리 464ㅡ3,중앙선,47.0,기타,미사용,계획 없음,,,,,,,
201,19189,강원본부,충청북도 단양군 매포읍 영천리 산 52ㅡ1,중앙선,198.0,기타,미사용,계획 없음,,,,,,,
202,19190,강원본부,충청북도 단양군 매포읍 영천리 산 52ㅡ3,중앙선,3174.0,기타,미사용,계획 없음,,,,,,,
203,19191,강원본부,충청북도 단양군 매포읍 영천리 산 52ㅡ4,중앙선,2777.0,기타,미사용,계획 없음,,,,,,,
204,19192,강원본부,충청북도 단양군 매포읍 영천리 산 52ㅡ5,중앙선,2281.0,기타,미사용,계획 없음,,,,,,,
205,19193,강원본부,충청북도 단양군 매포읍 영천리 산 54ㅡ2,중앙선,5653.0,기타,미사용,계획 없음,,,,,,,
206,19195,강원본부,충청북도 단양군 매포읍 하시리 137ㅡ2,중앙선,559.0,기타,미사용,계획 없음,,,,,,,
207,19196,강원본부,충청북도 단양군 매포읍 하시리 233ㅡ1,중앙선,678.0,기타,미사용,계획 없음,,,,,,,
208,19197,강원본부,충청북도 단양군 매포읍 하시리 산 2ㅡ2,중앙선,1587.0,기타,미사용,계획 없음,,,,,,,
209,19198,강원본부,충청북도 단양군 매포읍 하시리 산 3ㅡ2,중앙선,893.0,기타,미사용,계획 없음,,,,,,,
210,19199,강원본부,충청북도 단양군 매포읍 하시리 산 4ㅡ2,중앙선,694.0,기타,미사용,계획 없음,,,,,,,
211,19200,강원본부,충청북도 단양군 매포읍 하시리 산 59ㅡ2,중앙선,694.0,기타,미사용,계획 없음,,,,,,,
212,19203,강원본부,충청북도 단양군 매포읍 하시리 산 5ㅡ2,중앙선,1091.0,기타,미사용,계획 없음,,,,,,,
